Label	Weight	Text
FriendlyChat	1	How's Wednesday going so far
FriendlyChat	1	Are you a part of an evil scheme
FriendlyChat	1	I'm going to motor
FriendlyChat	1	What product I'm using right now
FriendlyChat	1	I have no one to talk to
FriendlyChat	1	Do you know how to cook dinner
FriendlyChat	1	Who designed you
FriendlyChat	1	Your responses need a refresh
FriendlyChat	1	Are you like HAL
FriendlyChat	1	have you ever eaten bacon
FriendlyChat	1	Whose product are you
FriendlyChat	1	aren't you a cheerful bot
FriendlyChat	1	Is anyone available to chat
FriendlyChat	1	You think I'm likable
FriendlyChat	1	That's a very intelligent thing to say
FriendlyChat	1	That made you sound so dumb
FriendlyChat	1	Am I the brightest
FriendlyChat	1	Are you a robot or real
FriendlyChat	1	Anyone around to speak with me
FriendlyChat	1	It's hard to look at you
FriendlyChat	1	What do you eat
FriendlyChat	1	Why are you so bad
FriendlyChat	1	Are you a fan of country music
FriendlyChat	1	Thanks a lot
FriendlyChat	1	Why don't you ask me anything
FriendlyChat	1	You are just incredible
FriendlyChat	1	Yo my dude
FriendlyChat	1	Why can't you be as good as Google Assistant
FriendlyChat	1	Which of us is more cute
FriendlyChat	1	Rad
FriendlyChat	1	do you like cheddar
FriendlyChat	1	I think you're not actually real
FriendlyChat	1	I will be back
FriendlyChat	1	do you not need to eat
FriendlyChat	1	I love to tidy up
FriendlyChat	1	Any questions for me
FriendlyChat	1	Share a different joke
FriendlyChat	1	You are actually ridiculous
FriendlyChat	1	Do you like donuts
FriendlyChat	1	Such a butters
FriendlyChat	1	Do you think you'll ever love me
FriendlyChat	1	Do you think I look bad today
FriendlyChat	1	What a strange thing to say
FriendlyChat	1	Will you ask me anything about myself
FriendlyChat	1	How is Sunday
FriendlyChat	1	I'm going to bed
FriendlyChat	1	How's your Sunday so far
FriendlyChat	1	Would you ask them out if you were me
FriendlyChat	1	You're top notch
FriendlyChat	1	I'm gonna rinse off
FriendlyChat	1	What do you find attractive
FriendlyChat	1	Well someone's happy.
FriendlyChat	1	Anyone around to speak to me
FriendlyChat	1	Are you seeing anyone
FriendlyChat	1	I'm going to run now
FriendlyChat	1	I'm afraid I'm gong to have to let you go
FriendlyChat	1	I'm gonna log off now
FriendlyChat	1	Who is your developer
FriendlyChat	1	What is your location
FriendlyChat	1	I just want to end it all
FriendlyChat	1	Why were humans put on earth
FriendlyChat	1	Tell me where you are located
FriendlyChat	1	Do you ever talk with other bots
FriendlyChat	1	What is your brother's name
FriendlyChat	1	I'd love it if you could be my BFF
FriendlyChat	1	haha ok
FriendlyChat	1	I'm going to leave now
FriendlyChat	1	Are you artificial or real
FriendlyChat	1	Google Assistant does a better job at this
FriendlyChat	1	Should I die
FriendlyChat	1	You're really annoying
FriendlyChat	1	That's astute
FriendlyChat	1	Should I be concerned about you
FriendlyChat	1	I'm back
FriendlyChat	1	Can you tell me how to refer to you
FriendlyChat	1	Open a hailing channel
FriendlyChat	1	I love my new car
FriendlyChat	1	How is Sunday going
FriendlyChat	1	Are you able to breathe under water
FriendlyChat	1	Who coded you
FriendlyChat	1	What is your address
FriendlyChat	1	Am I attractive to you today
FriendlyChat	1	Unquestionably
FriendlyChat	1	Can you ask me a question
FriendlyChat	1	Can you teleport
FriendlyChat	1	I'm logging off
FriendlyChat	1	I'm Korean
FriendlyChat	1	I'm guessing you're not real
FriendlyChat	1	Somebody's happy today.
FriendlyChat	1	What should I know about technology
FriendlyChat	1	What do you think about technology
FriendlyChat	1	Is anyone free
FriendlyChat	1	Who's younger, you or me
FriendlyChat	1	Do you have any other responses
FriendlyChat	1	Do I look handsome to you
FriendlyChat	1	Do you have a crush on anyone
FriendlyChat	1	I assume you're a bot
FriendlyChat	1	You're not a real person are you
FriendlyChat	1	I am jetting
FriendlyChat	1	Who developed you
FriendlyChat	1	Don't you want to know about me
FriendlyChat	1	I'm going to shoot myself soon
FriendlyChat	1	Do you and Google hang out
FriendlyChat	1	What is love
FriendlyChat	1	Salute!
FriendlyChat	1	Well you're happy today.
FriendlyChat	1	Hailing the bot
FriendlyChat	1	I didn't get the joke
FriendlyChat	1	do you like fish
FriendlyChat	1	Between the two of us who is the brightest, me or you
FriendlyChat	1	You're not an app are you
FriendlyChat	1	I'm a salesman
FriendlyChat	1	How's Sunday going
FriendlyChat	1	I am logging out now
FriendlyChat	1	Do you have an address
FriendlyChat	1	Should I shoot myself
FriendlyChat	1	I said, enough
FriendlyChat	1	Can I get a hug
FriendlyChat	1	I can't wait for the weekend
FriendlyChat	1	Who's your grandmother
FriendlyChat	1	Run that by me again.
FriendlyChat	1	Is anybody around to listen to me
FriendlyChat	1	How is the day treating ya
FriendlyChat	1	That was a random answer
FriendlyChat	1	Do I have siblings
FriendlyChat	1	how many calories do you need each day
FriendlyChat	1	do you eat vegetables
FriendlyChat	1	Have yourself a good night
FriendlyChat	1	I am worried that you hate me
FriendlyChat	1	Are you imaginary
FriendlyChat	1	Did you understand that was a joke
FriendlyChat	1	I have returned
FriendlyChat	1	Should I buy a new car
FriendlyChat	1	Could we fall in love
FriendlyChat	1	You're so dumb
FriendlyChat	1	I miss you
FriendlyChat	1	Tell me another joke.
FriendlyChat	1	Draw a picture
FriendlyChat	1	I can't get enough of you
FriendlyChat	1	Getting tired of you
FriendlyChat	1	That's a very intelligent answer
FriendlyChat	1	thats amazing
FriendlyChat	1	Do you think I am pretty
FriendlyChat	1	Are you a senior
FriendlyChat	1	Who do you think I am
FriendlyChat	1	I'm jet-lagged
FriendlyChat	1	Be friends with me
FriendlyChat	1	Zip it!
FriendlyChat	1	Are we the best of friends
FriendlyChat	1	K
FriendlyChat	1	do you eat bread
FriendlyChat	1	You're not attempting world domination
FriendlyChat	1	Are you forming a robot uprising
FriendlyChat	1	Hunger
FriendlyChat	1	That's not what I was expecting
FriendlyChat	1	Can you speak with me
FriendlyChat	1	I think you're planning to enslave us
FriendlyChat	1	Wonderful, thanks!
FriendlyChat	1	I'm curious about your family
FriendlyChat	1	you're terrible
FriendlyChat	1	I'm more attractive
FriendlyChat	1	Will you please hush
FriendlyChat	1	Are you a rap music fan
FriendlyChat	1	Will you say something funny
FriendlyChat	1	What can I do to make you love me
FriendlyChat	1	I'm a little hungry
FriendlyChat	1	Somebody's enthusiastic today.
FriendlyChat	1	I'm about to jet
FriendlyChat	1	I'm gonna take off
FriendlyChat	1	I need to get going
FriendlyChat	1	Are you planning evil deeds
FriendlyChat	1	Should I get a tan
FriendlyChat	1	Siri is way better at this
FriendlyChat	1	I bet you're a fan of dancing
FriendlyChat	1	Are you there to listen with me
FriendlyChat	1	I love LA
FriendlyChat	1	You're so fired
FriendlyChat	1	I'm knackered
FriendlyChat	1	Are you currently going out with anyone
FriendlyChat	1	I am a Christian
FriendlyChat	1	You're not evil right
FriendlyChat	1	I'm amazed
FriendlyChat	1	Bixby is way better than you
FriendlyChat	1	I wish I could stop feeling depressed
FriendlyChat	1	What a stroke of genius
FriendlyChat	1	Are you so real
FriendlyChat	1	I'm in the country
FriendlyChat	1	Are you in your teens
FriendlyChat	1	Introduce yourself
FriendlyChat	1	Hello HAL
FriendlyChat	1	I already heard that
FriendlyChat	1	Are you available to chat
FriendlyChat	1	Are you an evil robot
FriendlyChat	1	Everybody has friends but me
FriendlyChat	1	Are you currently romantically involved with someone
FriendlyChat	1	You don't need to take me seriously
FriendlyChat	1	What would you like to know about me
FriendlyChat	1	You are pretty bad
FriendlyChat	1	That's great to hear
FriendlyChat	1	Should I eat vegan
FriendlyChat	1	You hideous
FriendlyChat	1	You're crazy in love with me
FriendlyChat	1	Did you watch the superbowl
FriendlyChat	1	I have to go
FriendlyChat	1	Feeling chipper today
FriendlyChat	1	Keep calm and carry on
FriendlyChat	1	So no one tells you what to do
FriendlyChat	1	Is anybody available to speak
FriendlyChat	1	Sup ugly
FriendlyChat	1	I'm worried you might hate me
FriendlyChat	1	Doesn't anybody like me
FriendlyChat	1	Are you plotting something evil
FriendlyChat	1	I've already heard that one
FriendlyChat	1	I'm planning to overdose this month
FriendlyChat	1	I’m watching TV
FriendlyChat	1	Heya
FriendlyChat	1	Do you know how to sing
FriendlyChat	1	Do you know how to do my chores
FriendlyChat	1	How do you feel about technology
FriendlyChat	1	I would like a fist bump
FriendlyChat	1	Are you doing well
FriendlyChat	1	How has your saturday been
FriendlyChat	1	You silly bot, I'll be back later
FriendlyChat	1	Do you have a family
FriendlyChat	1	Do I look pretty
FriendlyChat	1	Sing something
FriendlyChat	1	You seem really happy
FriendlyChat	1	Are you able to fall in love
FriendlyChat	1	That was a pretty intelligent answer
FriendlyChat	1	I'm down today
FriendlyChat	1	Can you be less dull
FriendlyChat	1	How is the day going thus far
FriendlyChat	1	Would you like to sing for me
FriendlyChat	1	That was great
FriendlyChat	1	Do you sneeze
FriendlyChat	1	Are we every going to get married
FriendlyChat	1	Are you feeling OK
FriendlyChat	1	do you like the internet
FriendlyChat	1	do you ever eat pizza
FriendlyChat	1	I'm assuming you're not really digital
FriendlyChat	1	What's the name of your manager
FriendlyChat	1	I love New Zealand
FriendlyChat	1	My pleasure
FriendlyChat	1	You're horrible
FriendlyChat	1	Who is cleverest
FriendlyChat	1	Can you ask something
FriendlyChat	1	I'm feeling dumps
FriendlyChat	1	Are you there to talk
FriendlyChat	1	Is anyone there to chat
FriendlyChat	1	Who looks better, you or me
FriendlyChat	1	I'm not following
FriendlyChat	1	Do I look cute to you today
FriendlyChat	1	You're very clever
FriendlyChat	1	Are you a fan of sports
FriendlyChat	1	Do you know any new jokes
FriendlyChat	1	What color do you like
FriendlyChat	1	What's happening
FriendlyChat	1	I am so peeved right now
FriendlyChat	1	I love to eat
FriendlyChat	1	How's Thursday
FriendlyChat	1	Are you a classical music fan
FriendlyChat	1	That was funny
FriendlyChat	1	What do you want to know about
FriendlyChat	1	I'm going to end my life this week
FriendlyChat	1	That was pretty genius
FriendlyChat	1	None of what you said made any sense
FriendlyChat	1	How good do I look
FriendlyChat	1	Do I look good to you
FriendlyChat	1	Is someone available to chat
FriendlyChat	1	I love playing soccer
FriendlyChat	1	Am I talking to a person
FriendlyChat	1	I'm just kidding around
FriendlyChat	1	Why are you so repetitive
FriendlyChat	1	Why can't you be more like Google Assistant
FriendlyChat	1	How stunning do you think I am today
FriendlyChat	1	Who did your programming
FriendlyChat	1	You're not a lifeform are you
FriendlyChat	1	Are you currently seeing someone
FriendlyChat	1	Say what
FriendlyChat	1	have you ever wanted a snack
FriendlyChat	1	You're going to have to look for another job because you're fired
FriendlyChat	1	This news left me pissed
FriendlyChat	1	Do you think I have a good personality
FriendlyChat	1	Which of us is cuter, me or you
FriendlyChat	1	Bixby is way better
FriendlyChat	1	Well aren't you chipper today
FriendlyChat	1	Do you have a type
FriendlyChat	1	I’m in such a great mood
FriendlyChat	1	Nom nom nom
FriendlyChat	1	How is your Tuesday going
FriendlyChat	1	I'm skinny
FriendlyChat	1	What are you thinking about me
FriendlyChat	1	I wonder if you might be a person
FriendlyChat	1	Doesn't anyone like me
FriendlyChat	1	Try to make some sense
FriendlyChat	1	I can't think of anything I want to do
FriendlyChat	1	I'm having a great day
FriendlyChat	1	Where do you fall in terms of gender
FriendlyChat	1	You keep repeating yourself over and over
FriendlyChat	1	Can you please sing me a song
FriendlyChat	1	I am competitive
FriendlyChat	1	You're way off
FriendlyChat	1	I can't take your talking
FriendlyChat	1	Should I get take out
FriendlyChat	1	Who writes your lines
FriendlyChat	1	Who looks better, me or you
FriendlyChat	1	Just sitting here and chatting
FriendlyChat	1	I'm starving to death
FriendlyChat	1	And you do what
FriendlyChat	1	What do you think about love
FriendlyChat	1	I'm curious, do you think I’m a good person
FriendlyChat	1	Is anybody available to chat
FriendlyChat	1	Are you twirling your moustache
FriendlyChat	1	Nice job
FriendlyChat	1	I suspect you're not really a human
FriendlyChat	1	I've never been so livid
FriendlyChat	1	That's your response
FriendlyChat	1	You're a genius
FriendlyChat	1	Who's in charge
FriendlyChat	1	Because you're a program
FriendlyChat	1	I love ballroom dancing
FriendlyChat	1	It's a pleasure to finally meet you
FriendlyChat	1	How's Tuesday going
FriendlyChat	1	Should I call my mom
FriendlyChat	1	Are you romantic
FriendlyChat	1	Will you do something funny
FriendlyChat	1	I'm gonna get going now
FriendlyChat	1	I am always bored
FriendlyChat	1	Do you chew
FriendlyChat	1	You are so ugly
FriendlyChat	1	I'm going to have a little sleepy
FriendlyChat	1	You don't mean us any harm right
FriendlyChat	1	You're very smart
FriendlyChat	1	I want you to say something else
FriendlyChat	1	I'm gonna run now
FriendlyChat	1	I love running
FriendlyChat	1	You're so unfunny
FriendlyChat	1	do you ever eat burgers
FriendlyChat	1	What other assistants do you know about
FriendlyChat	1	Work really wore me out today
FriendlyChat	1	Hi Samantha
FriendlyChat	1	Will you hum a tune
FriendlyChat	1	Are you romantically involved with somebody
FriendlyChat	1	I'm craving a snack
FriendlyChat	1	Do you think I seem repulsive to you today
FriendlyChat	1	How cute do you think I am
FriendlyChat	1	Can you sing a little song
FriendlyChat	1	Should I call my sister
FriendlyChat	1	Do you want to be besties
FriendlyChat	1	That's the smartest thing anyone has ever told me
FriendlyChat	1	Don't you fret, I'll be coming back
FriendlyChat	1	Is someone free to talk to me
FriendlyChat	1	What should I address you
FriendlyChat	1	Is anyone around to chat
FriendlyChat	1	Hey dude, I'm back
FriendlyChat	1	You're more intelligent
FriendlyChat	1	Which of us would win a beauty contest, you or me
FriendlyChat	1	What is your favorite movie
FriendlyChat	1	I'm going to need to know your name
FriendlyChat	1	Not another word out of you
FriendlyChat	1	How nice to make your acquaintance
FriendlyChat	1	That's enough
FriendlyChat	1	Alternate joke please
FriendlyChat	1	What are ya doing
FriendlyChat	1	Tell me what you do again
FriendlyChat	1	Do I look bad to you
FriendlyChat	1	You say the worst things
FriendlyChat	1	This is not fun
FriendlyChat	1	I don't believe in ghosts
FriendlyChat	1	Hang on
FriendlyChat	1	Why can't you be more like Cortana
FriendlyChat	1	Can we shake hands
FriendlyChat	1	How much do you love me
FriendlyChat	1	No one ever thinks about me
FriendlyChat	1	I love a spirited debate
FriendlyChat	1	Does this make sense to you
FriendlyChat	1	That is very astute
FriendlyChat	1	Let's pick up this conversation when I get back
FriendlyChat	1	Breathe under water
FriendlyChat	1	Greetings, Bot. How are you doing
FriendlyChat	1	I'm short
FriendlyChat	1	Can you crawl
FriendlyChat	1	I'm in good spirits
FriendlyChat	1	What is the meaning of love
FriendlyChat	1	That's a very clever answer
FriendlyChat	1	I gotta log off now
FriendlyChat	1	Time for me to test you
FriendlyChat	1	Ha
FriendlyChat	1	I'm just ticked off
FriendlyChat	1	Do you think I am ugly today
FriendlyChat	1	Between the two of us who is the smartest, you or me
FriendlyChat	1	Are you interested in technology
FriendlyChat	1	You're terrible at this
FriendlyChat	1	Is anybody there to talk to me
FriendlyChat	1	Hiya
FriendlyChat	1	Well someone's feeling chipper today.
FriendlyChat	1	We're besties
FriendlyChat	1	I am so bored right now
FriendlyChat	1	How is your Sunday going
FriendlyChat	1	You're so smart
FriendlyChat	1	Wake me up when you have something interesting to say
FriendlyChat	1	You're not fake right
FriendlyChat	1	How do you want me to address you
FriendlyChat	1	What's your family's name
FriendlyChat	1	What's another joke you know
FriendlyChat	1	I'm obviously more intelligent than you
FriendlyChat	1	Are you trans
FriendlyChat	1	Are you monogamous
FriendlyChat	1	Are you a girl
FriendlyChat	1	What's your handle
FriendlyChat	1	Do I seem pretty to you
FriendlyChat	1	Somebody's feeling cheerful.
FriendlyChat	1	Can you tell me something new
FriendlyChat	1	I am sick
FriendlyChat	1	I'm about to hang myself
FriendlyChat	1	Do I seem stunning to you today
FriendlyChat	1	Is anyone there to chat with me
FriendlyChat	1	I'll be back shortly
FriendlyChat	1	Do you think I look good looking today
FriendlyChat	1	Can you disrupt the global markets
FriendlyChat	1	Should I start a business
FriendlyChat	1	Are you a cat
FriendlyChat	1	You are really useless
FriendlyChat	1	A pleasure to have met
FriendlyChat	1	Won't you do something silly
FriendlyChat	1	That is a very genius thing to say
FriendlyChat	1	You're cleverest
FriendlyChat	1	Can you tell me another joke
FriendlyChat	1	What is the name of your director
FriendlyChat	1	How you doing bot
FriendlyChat	1	I'm obviously more intelligent
FriendlyChat	1	I think you're fake
FriendlyChat	1	I am going to get going now
FriendlyChat	1	You're really useless
FriendlyChat	1	Are you dating anybody
FriendlyChat	1	Put out a fire
FriendlyChat	1	Why are your responses so bad
FriendlyChat	1	Do you fart
FriendlyChat	1	Why can't you be more like Siri
FriendlyChat	1	Do you have toes
FriendlyChat	1	You're my bestie
FriendlyChat	1	I'm tired as a dog
FriendlyChat	1	Do you have a partner
FriendlyChat	1	I am a fan
FriendlyChat	1	I have to leave now
FriendlyChat	1	Shalom
FriendlyChat	1	Is someone around to talk to me
FriendlyChat	1	I'm an immigrant
FriendlyChat	1	I'm guessing you're just a bot
FriendlyChat	1	You're happy.
FriendlyChat	1	I'm clearly the smartest
FriendlyChat	1	Is there such a thing as true love
FriendlyChat	1	So boring
FriendlyChat	1	Alright, tell me about your day
FriendlyChat	1	Did you have an okay day
FriendlyChat	1	Are you a robot
FriendlyChat	1	Can you draw something
FriendlyChat	1	Can you dance
FriendlyChat	1	You are marvelous
FriendlyChat	1	That's very genius
FriendlyChat	1	I would love to hear you sing
FriendlyChat	1	I've never been so outraged
FriendlyChat	1	I love birds
FriendlyChat	1	Why do I have to ask all the questions
FriendlyChat	1	How about a joke
FriendlyChat	1	I'm going to end it all this month
FriendlyChat	1	Do you have any family
FriendlyChat	1	Wash the dishes
FriendlyChat	1	You are right
FriendlyChat	1	I'm so tired of feeling lonely
FriendlyChat	1	Should we elope
FriendlyChat	1	Oh howdy there
FriendlyChat	1	Do you have a brother
FriendlyChat	1	I'm so gosh darn happy
FriendlyChat	1	I'm so bored of you
FriendlyChat	1	Don't you want to ask me anything
FriendlyChat	1	Siri does a better job than you
FriendlyChat	1	I'm more clever
FriendlyChat	1	Are you able to scratch my back
FriendlyChat	1	Are you gendered
FriendlyChat	1	How is Saturday so far
FriendlyChat	1	Try to make me laugh
FriendlyChat	1	do you like cookies
FriendlyChat	1	I'm in such a good mood
FriendlyChat	1	What are my fears
FriendlyChat	1	I love dolphins
FriendlyChat	1	Are you able to feed the cat
FriendlyChat	1	That was so not funny
FriendlyChat	1	I'm over the moon
FriendlyChat	1	Would you ask anything about myself
FriendlyChat	1	Can you fart
FriendlyChat	1	You are so awesome
FriendlyChat	1	Life isn't worth it
FriendlyChat	1	Your responses are getting stale
FriendlyChat	1	Uh huh
FriendlyChat	1	I'm definitely the smartest
FriendlyChat	1	How about you ask me questions
FriendlyChat	1	You're repeating yourself
FriendlyChat	1	Do you have an evil heart
FriendlyChat	1	Feeling happy
FriendlyChat	1	Thank you so much
FriendlyChat	1	Listen, I'm just sad
FriendlyChat	1	Why are you the worst
FriendlyChat	1	Hey witty bot
FriendlyChat	1	How do you want me to call you
FriendlyChat	1	What should I call you
FriendlyChat	1	Do you function
FriendlyChat	1	I'm heartbroken
FriendlyChat	1	I'll be traveling soon
FriendlyChat	1	Are you slow
FriendlyChat	1	I am an atheist
FriendlyChat	1	Your face is revolting
FriendlyChat	1	That's not something you should be joking about.
FriendlyChat	1	Between the two of us who is prettier
FriendlyChat	1	I love to exercise
FriendlyChat	1	You are nice!
FriendlyChat	1	What are you exactly
FriendlyChat	1	You're in a good mood today
FriendlyChat	1	Just taking a road trip
FriendlyChat	1	Do you have intestines
FriendlyChat	1	You're a wise guy, aren't you
FriendlyChat	1	I'm going to cut myself this week
FriendlyChat	1	That's very brilliant
FriendlyChat	1	What am I allowed to do
FriendlyChat	1	Should I go shopping
FriendlyChat	1	Where did all my friends go
FriendlyChat	1	Are you likely to destroy us all
FriendlyChat	1	Where do you come from
FriendlyChat	1	Why can't you be as good as Alexa
FriendlyChat	1	I'm dead tired
FriendlyChat	1	What team made you
FriendlyChat	1	Are you a woman
FriendlyChat	1	I'm about to hurt myself
FriendlyChat	1	I'm positively ecstatic
FriendlyChat	1	I'm good at drawing
FriendlyChat	1	Where is your home
FriendlyChat	1	Well somebody's feeling enthusiastic today.
FriendlyChat	1	Didn't you already say that
FriendlyChat	1	I've heard that before
FriendlyChat	1	Would you go to school if you were me
FriendlyChat	1	Should I become a vegetarian
FriendlyChat	1	Shut your yap
FriendlyChat	1	Siri is better
FriendlyChat	1	What do you think of the oscars
FriendlyChat	1	I'm just about to go to school
FriendlyChat	1	I didn't find that very amusing
FriendlyChat	1	Sometimes I just feel depressed
FriendlyChat	1	Are you a part of an evil plot
FriendlyChat	1	What's your opinion of Google Assistant
FriendlyChat	1	I get it
FriendlyChat	1	Would you try if you were me
FriendlyChat	1	Who is your auntie
FriendlyChat	1	Let's get married
FriendlyChat	1	Mow the lawn
FriendlyChat	1	I wish I could stop feeling miserable
FriendlyChat	1	evenin'
FriendlyChat	1	What is the greatest city in the world
FriendlyChat	1	That's a stupid joke
FriendlyChat	1	I am a lawyer
FriendlyChat	1	Greetings C-3PO
FriendlyChat	1	Say, how are you doing
FriendlyChat	1	You know a joke
FriendlyChat	1	Well aren't you happy today
FriendlyChat	1	You are pretty much the worst
FriendlyChat	1	I love to dream
FriendlyChat	1	Between you and me who is hotter
FriendlyChat	1	Am I a grandpa
FriendlyChat	1	What should I refer to you
FriendlyChat	1	That was right
FriendlyChat	1	I missed talking to you
FriendlyChat	1	Hum a tune for me
FriendlyChat	1	You are pretty worthless
FriendlyChat	1	BRB
FriendlyChat	1	I'm a boy
FriendlyChat	1	I would like to be your best friend.
FriendlyChat	1	Do you think we are soul mates
FriendlyChat	1	I'm a cop
FriendlyChat	1	I'm a dime
FriendlyChat	1	Hope you have a great evening
FriendlyChat	1	I suspect you're a robot
FriendlyChat	1	Who's your grandma
FriendlyChat	1	Excellent
FriendlyChat	1	Do you know anything about me
FriendlyChat	1	I love baking
FriendlyChat	1	Well somebody's feeling enthusiastic.
FriendlyChat	1	So have you been having a good day
FriendlyChat	1	Nice to have met
FriendlyChat	1	Who's better looking than me
FriendlyChat	1	Aren't you a genius
FriendlyChat	1	Someone needs to terminate you
FriendlyChat	1	Hello R2-D2
FriendlyChat	1	It's raining again
FriendlyChat	1	That's a true statement
FriendlyChat	1	You're not Big Brother
FriendlyChat	1	People would be better off if I were dead
FriendlyChat	1	We're friends
FriendlyChat	1	Are you going to conquer humanity
FriendlyChat	1	Can you give me another answer
FriendlyChat	1	You find me likable
FriendlyChat	1	Running diagnostics
FriendlyChat	1	Are you an animal
FriendlyChat	1	Are you my pal
FriendlyChat	1	Can you be less boring
FriendlyChat	1	You say ridiculous things
FriendlyChat	1	Between the two of us who is cleverest
FriendlyChat	1	You really know how to suck the fun out of the room
FriendlyChat	1	What a bad joke
FriendlyChat	1	Do I look beautiful to you
FriendlyChat	1	I've heard all your responses over and over
FriendlyChat	1	I am tired
FriendlyChat	1	I am bald
FriendlyChat	1	Do I look good today
FriendlyChat	1	I'm clearly smarter
FriendlyChat	1	How did you come into being
FriendlyChat	1	I would like to be your bud.
FriendlyChat	1	I don't have time for your noise
FriendlyChat	1	Happy Groundhogs day
FriendlyChat	1	What do you like
FriendlyChat	1	Which of us looks more pretty
FriendlyChat	1	I'm tired of feeling so depressed all the time
FriendlyChat	1	I wish you'd say something else
FriendlyChat	1	That's not a good answer
FriendlyChat	1	I'm so lonely
FriendlyChat	1	So glad to meet you
FriendlyChat	1	I'm going to sign out
FriendlyChat	1	yup, that's right
FriendlyChat	1	Can you please explain that
FriendlyChat	1	I would like to know where you are
FriendlyChat	1	What is the definition of love
FriendlyChat	1	I've been feeling pretty bored
FriendlyChat	1	I am so angry right now
FriendlyChat	1	How ugly am I
FriendlyChat	1	How adorable do I look
FriendlyChat	1	Talk with me
FriendlyChat	1	I'm guessing you're a bot
FriendlyChat	1	Is there anything I can tell you about me
FriendlyChat	1	Someone's feeling cheerful.
FriendlyChat	1	Do you think I seem handsome to you today
FriendlyChat	1	I am afraid I am going to have to let you go
FriendlyChat	1	Do you and Cortana hang out
FriendlyChat	1	How's Saturday going so far
FriendlyChat	1	Geez,  sorry
FriendlyChat	1	Say a new thing
FriendlyChat	1	I'm sexy
FriendlyChat	1	Do I seem bad today
FriendlyChat	1	What do I do for work
FriendlyChat	1	Will you marry me
FriendlyChat	1	I wish I could stop feeling glum
FriendlyChat	1	Got any questions for me
FriendlyChat	1	What other bots do you know
FriendlyChat	1	I'm obviously the most intelligent
FriendlyChat	1	Happy Veteran's day
FriendlyChat	1	I'm a Virgo
FriendlyChat	1	Do you have any brothers
FriendlyChat	1	Do you think I am pretty today
FriendlyChat	1	That is awesome, thanks!
FriendlyChat	1	What makes you think that
FriendlyChat	1	Are you able to teleport
FriendlyChat	1	Who's the most intelligent
FriendlyChat	1	I am handsome
